year,GEOID,NAME,median_household_incomeE,median_household_incomeM,per_capita_incomeE,per_capita_incomeM,poverty_total_popE,poverty_total_popM,poverty_below_lineE,poverty_below_lineM,income_under_10kE,income_under_10kM,income_10k_15kE,income_10k_15kM,income_15k_20kE,income_15k_20kM,income_20k_25kE,income_20k_25kM,income_25k_30kE,income_25k_30kM,income_30k_35kE,income_30k_35kM,income_35k_40kE,income_35k_40kM,income_40k_45kE,income_40k_45kM,income_45k_50kE,income_45k_50kM,income_50k_60kE,income_50k_60kM,income_60k_75kE,income_60k_75kM,income_75k_100kE,income_75k_100kM,income_100k_125kE,income_100k_125kM,income_125k_150kE,income_125k_150kM,income_150k_200kE,income_150k_200kM,income_200k_plusE,income_200k_plusM,labor_force_totalE,labor_force_totalM,labor_force_employedE,labor_force_employedM,labor_force_unemployedE,labor_force_unemployedM,civilian_pop_16plusE,civilian_pop_16plusM,median_home_valueE,median_home_valueM,median_gross_rentE,median_gross_rentM,total_householdsE,total_householdsM,owner_occupiedE,owner_occupiedM,renter_occupiedE,renter_occupiedM,rent_burden_totalE,rent_burden_totalM,rent_burden_30_35pctE,rent_burden_30_35pctM,rent_burden_35_40pctE,rent_burden_35_40pctM,rent_burden_40_50pctE,rent_burden_40_50pctM,rent_burden_50pct_plusE,rent_burden_50pct_plusM,edu_total_25plusE,edu_total_25plusM,edu_high_schoolE,edu_high_schoolM,edu_some_collegeE,edu_some_collegeM,edu_associatesE,edu_associatesM,edu_bachelorsE,edu_bachelorsM,edu_mastersE,edu_mastersM,edu_professionalE,edu_professionalM,edu_doctorateE,edu_doctorateM,total_populationE,total_populationM,median_ageE,median_ageM,age_under_18E,age_under_18M,age_18_64E,age_18_64M,age_65_plusE,age_65_plusM,total_pop_1yr_plusE,total_pop_1yr_plusM,same_house_1yr_agoE,same_house_1yr_agoM,moved_within_stateE,moved_within_stateM,moved_from_other_stateE,moved_from_other_stateM,moved_from_abroadE,moved_from_abroadM
2011,01,Alabama,41415,550,22711,268,4687363,2037,892483,23804,190357,7832,138695,6217,126092,6556,128817,5500,113174,5717,102532,5475,92020,4935,93174,4927,81617,4748,143016,6019,172984,6935,193457,6444,117395,5633,56992,3661,50765,3631,43459,3141,2255995,15899,1981095,17704,259346,10052,3808975,4580,122700,1463,687,7,1844546,11416,1289217,12212,555329,9348,555329,9348,44984,3537,35018,3452,45745,3889,133883,4537,3193078,4624,818373,13522,193684,6362,236162,7930,443488,11458,190977,6981,43117,3072,32950,2924,4802740,NA,38.1,0.2,152700,2698,72928,3058,41606,2680,4745278,4078,4024442,22751,439576,20589,148717,8705,117726,9414
2011,02,Alaska,67825,1948,31405,857,706860,918,73905,5839,10654,1325,9834,1523,8639,1340,9867,1472,10073,1541,10721,1664,10482,1651,12509,1718,9313,1630,20407,2148,30905,2725,39608,2920,27606,2304,16897,1963,19164,2398,10651,1577,394406,5521,344343,5706,33367,2880,554678,1587,238300,5520,1049,37,257330,3380,162312,3867,95018,4471,95018,4471,8235,1529,6387,1188,7073,1329,16881,1874,456862,1804,104706,4828,35732,3054,34000,2884,77153,3956,29269,2642,8000,1406,6039,1573,722718,NA,33.9,0.3,27602,927,10360,1133,4790,983,711962,1401,571857,8892,80837,7416,19443,3529,35084,4168
2011,04,Arizona,46709,554,23793,273,6336449,3861,1203501,38097,199310,9713,133717,6658,138447,6643,150227,7814,134418,7344,134685,7958,124008,6187,126216,6555,104087,6914,196212,7902,237864,8459,263676,9096,163794,7830,93047,6044,84334,5618,72013,5062,3040762,18783,2687991,19218,337217,13404,5044259,4894,153800,1459,850,8,2356055,12130,1501528,15067,854527,15846,854527,15846,69846,4672,54014,5158,74189,5706,207389,8432,4211223,3828,869809,20975,308284,12189,348197,13006,719546,14987,291892,10829,64212,4258,43548,4313,6482505,NA,36.2,0.1,229035,2553,95272,2848,55845,3619,6402301,5660,5107496,39045,901151,33273,127215,13519,222877,14358
2011,05,Arkansas,38758,761,21203,328,2856663,2079,555876,17602,117175,5167,93398,4676,84017,4663,82100,4725,71512,4265,67320,3861,61324,3384,58755,3975,51438,4191,91553,4818,100822,4906,109274,4779,60565,3612,31387,2626,26723,2795,20258,2403,1368632,11362,1235755,12185,127480,5894,2301244,3020,106300,1643,639,10,1127621,7837,750984,9249,376637,8537,376637,8537,29822,3040,22035,2533,34575,4060,85341,4725,1943427,3997,576505,14060,126508,6613,113074,5621,254903,7605,96313,5835,25130,2800,18474,2232,2937979,NA,37.5,0.3,102053,2708,41886,2461,24909,2317,2906632,2928,2421746,18606,306205,14598,99626,9095,69845,7292
2011,06,California,57287,279,27859,115,36941931,7933,6118803,71852,782975,14260,679109,14675,641871,13922,660842,13919,575820,12487,595505,12593,539446,11933,546398,12758,502188,12002,914099,18720,1198278,18376,1488173,20849,1102795,17857,665286,13326,771568,14133,804390,12046,18869522,41629,16426694,38419,2311055,27107,29530797,11281,355600,1577,1174,4,12468743,22250,6843369,25886,5625374,23999,5625374,23999,495736,11175,389931,9778,558786,13484,1622955,17233,24443872,5625,4613751,38237,1398960,21066,1872437,23018,4697422,39369,1791770,21779,559241,13995,357887,12930,37691912,NA,35.4,0.1,1295328,2864,580799,4173,277568,7703,37222678,9999,31213310,71183,4208649,65064,1062519,30460,468428,17921
2011,08,Colorado,55387,605,29804,317,5002128,3154,674195,21621,134112,5931,92225,4523,95517,4359,102838,5204,87282,4899,102590,5400,94945,5527,96483,5232,84353,4814,165199,7269,205166,7829,245102,8028,169540,5713,98781,5450,107969,5319,93286,4338,2778345,11473,2492419,12726,255244,9192,4020272,4291,233700,1795,900,12,1975388,9057,1271804,10881,703584,11056,703584,11056,60078,4209,47572,4460,63783,4361,171771,6364,3387310,3216,627471,11806,217976,8541,281428,8697,789859,16005,331369,9338,70901,4465,50963,3765,5116796,NA,36.2,0.1,176488,2340,73650,1829,41047,2783,5048443,4037,4048042,22888,498820,18637,264413,12819,202124,11431
2011,09,Connecticut,65753,854,35932,403,3471802,1406,377856,17034,82288,4024,59299,4058,62268,3812,57206,3376,53054,3630,56771,3992,47454,3611,58574,3655,48238,3452,96715,4204,128330,5445,179185,6991,127846,5389,82854,3968,99410,4038,112151,4373,1958135,9192,1742494,10890,206992,7907,2874766,3020,278700,2580,1021,12,1351643,7309,911059,6941,440584,7734,440584,7734,40836,3180,29025,2774,38411,3277,120745,5738,2444403,1883,597976,11310,128838,5466,179119,5971,500103,9320,275007,9354,70962,3864,37987,3385,3580709,NA,40.3,0.1,100753,1134,53811,895,30605,2078,3548667,2644,3139496,16755,249933,15358,66950,5385,71502,6552
2011,10,Delaware,58814,1586,29123,663,882353,1386,104831,8149,18800,2079,14752,1812,15994,2085,14597,1916,15471,2185,15417,1867,14769,1960,16728,1973,15186,1928,27661,2682,34812,2918,46551,3561,32519,3065,17894,1857,16654,1915,15387,1800,464970,5641,420365,5587,41275,3137,726737,1751,236900,3594,960,22,333192,3426,238560,4816,94632,4248,94632,4248,7356,1541,7071,1574,8205,1499,24463,2849,611120,929,173692,5836,37584,3236,42602,4141,104599,4415,49862,4172,11217,1897,10565,1883,907135,NA,39.1,0.4,28049,349,13470,884,8105,1050,897187,1369,775414,8584,74460,6664,8696,2698,33912,3955
2011,11,District of Columbia,63124,2407,44578,1428,584583,305,109363,8006,29641,2532,11462,1724,9328,1490,11712,1965,8510,1200,9057,1271,9746,1896,11409,1576,8108,1415,18168,2098,23404,2712,29481,2814,25792,2455,14631,1896,17878,1756,30343,1964,352716,4560,310607,5456,39876,3595,523073,911,422400,15805,1216,36,268670,3200,110625,3425,158045,3930,158045,3930,13163,1817,11059,1694,11874,1569,37138,3485,428261,167,64742,4289,13822,1955,11907,1782,99622,3700,74134,4232,34099,2592,16909,2188,617996,NA,33.4,0.2,18565,161,10414,1582,4353,823,611608,1403,489659,6701,66519,6073,0,200,48066,4295
2011,12,Florida,44299,406,24905,209,18652057,5175,3173456,53070,593446,12105,447984,13813,455142,10608,473543,12095,445014,12014,423304,13225,390297,10434,368462,11954,317265,10535,588346,15193,695503,17559,746683,16941,449410,11042,240529,9328,235660,8261,235695,9151,9300255,37608,8101898,33734,1147856,20923,15545512,8368,151000,1036,949,6,7106283,31131,4741169,31771,2365114,25972,2365114,25972,206589,9036,161577,7825,249460,9104,711388,16296,13267581,9014,3481927,39347,841270,18679,1175984,23075,2190780,26016,843014,17281,250768,9689,144667,8431,19057542,NA,41.1,0.2,549143,4195,264437,5427,191830,8303,18863948,8536,15742168,59355,1894403,49038,559852,21367,498597,22483
